Sample_ID;Site;Country;Region;Stream;Vegetation;Mesh;LeafLeafLeaf;MonoMix;LeafLeaf;EA_N_Percent_corr;EA_C_Percent_corr;molar_CN;log_molar_CN;N_Loss;C_Loss;Fungal_Biom_Leaf_mgg_noRR_1;k_corr1;Delta15_N_Air;Delta13_C_VPDB;Delta_logCN_abs;ID;Group
TG2A58;TG2A;Switzerland;North;TG2;non-forested;Fine;Ash;Mix;AshMix;2.46;42.08;19.94840292;2.993149086;12.42190998;44.45696195;NA;0.005687384;0.08;-30.57;-0.480281914;TG2A58AshMix;Mixnon-forestedFine
TG2A59;TG2A;Switzerland;North;TG2;non-forested;Fine;Alder;Mix;AlderMix;2.35;42.67;21.17494486;3.052818636;15.99468611;32.42701312;48.45583778;0.00260235;-0.83;-29.22;-0.219067364;TG2A59AlderMix;Mixnon-forestedFine
TG2A59;TG2A;Switzerland;North;TG2;non-forested;Fine;Ash;Mix;AshMix;2.69;43.08;18.67630347;2.927255526;-4.150233711;38.15890075;45.55593025;0.004854779;-0.51;-30.32;-0.546175474;TG2A59AshMix;Mixnon-forestedFine
TG1A5;TG1A;Switzerland;North;TG1;non-forested;Fine;Ash;Mono;AshMono;3.22;45.11;16.3374572;2.793460459;1.488316103;48.83202435;112.4247344;0.006158216;0.29;-30.69;-0.679970541;TG1A5AshMono;Mononon-forestedFine
TG2A60;TG2A;Switzerland;North;TG2;non-forested;Fine;Alder;Mix;AlderMix;2.8;44.76;18.64230264;2.925433334;1.032631144;29.91329426;37.46377127;0.002714397;-1.06;-29.6;-0.346452666;TG2A60AlderMix;Mixnon-forestedFine
TG2A60;TG2A;Switzerland;North;TG2;non-forested;Fine;Ash;Mix;AshMix;2.59;42.66;19.20828516;2.955341705;1.576694561;39.89472749;66.27439877;0.005040038;-0.77;-30.38;-0.518089295;TG2A60AshMix;Mixnon-forestedFine
TG2A61;TG2A;Switzerland;North;TG2;non-forested;Coarse;Alder;Mono;AlderMono;2.98;42.27;16.54182764;2.805892181;9.436802974;43.09121601;87.3808984;0.004212922;-0.87;-29.87;-0.465993819;TG2A61AlderMono;Mononon-forestedCoarse
TG2A62;TG2A;Switzerland;North;TG2;non-forested;Coarse;Alder;Mono;AlderMono;3.06;45.48;17.33271264;2.85259562;13.85810164;43.28145981;132.4148536;0.00497231;-0.88;-29.71;-0.41929038;TG2A62AlderMono;Mononon-forestedCoarse
TG2A63;TG2A;Switzerland;North;TG2;non-forested;Coarse;Alder;Mono;AlderMono;3.11;44.88;16.82906418;2.823107402;7.956607364;41.15674967;95.89929676;0.004475702;-0.94;-30.38;-0.448778598;TG2A63AlderMono;Mononon-forestedCoarse
TG2A64;TG2A;Switzerland;North;TG2;non-forested;Coarse;Alder;Mono;AlderMono;2.96;43.21;17.02393932;2.834620549;10.41490579;42.06515002;87.44745671;0.004253846;-0.84;-29.4;-0.437265451;TG2A64AlderMono;Mononon-forestedCoarse
TG2A65;TG2A;Switzerland;North;TG2;non-forested;Coarse;Ash;Mono;AshMono;2.53;42.88;19.76522502;2.983924081;33.81652562;58.41110754;117.4306397;0.008744613;-0.13;-30.73;-0.489506919;TG2A65AshMono;Mononon-forestedCoarse
TG2A66;TG2A;Switzerland;North;TG2;non-forested;Coarse;Ash;Mono;AshMono;2.46;43.91;20.8159309;3.035718602;39.43141309;59.91616102;73.52374198;0.009345789;0.05;-29.99;-0.437712398;TG2A66AshMono;Mononon-forestedCoarse
TG2A67;TG2A;Switzerland;North;TG2;non-forested;Coarse;Ash;Mono;AshMono;2.56;41.37;18.84573427;2.936286589;18.74230376;51.31405566;61.46206883;0.006825829;-0.11;-30.46;-0.537144411;TG2A67AshMono;Mononon-forestedCoarse
TG2A68;TG2A;Switzerland;North;TG2;non-forested;Coarse;Ash;Mono;AshMono;2.2;42.19;22.3642507;3.107463733;29.66377341;49.98970143;122.1930125;0.006754285;1.49;-30.24;-0.365967267;TG2A68AshMono;Mononon-forestedCoarse
TG2A69;TG2A;Switzerland;North;TG2;non-forested;Coarse;Alder;Mix;AlderMix;2.9;44.06;17.71797165;2.874579472;9.722591019;39.23728683;83.81326233;0.003974304;-0.98;-30.7;-0.397306528;TG2A69AlderMix;Mixnon-forestedCoarse
TG2A69;TG2A;Switzerland;North;TG2;non-forested;Coarse;Ash;Mix;AshMix;2.29;42.79;21.79085705;3.08149048;24.4849441;47.68407727;109.5109127;0.006447225;-0.09;-30.45;-0.39194052;TG2A69AshMix;Mixnon-forestedCoarse
TG1A6;TG1A;Switzerland;North;TG1;non-forested;Fine;Ash;Mono;AshMono;2.91;42.52;17.03992874;2.83555934;1.927568386;46.86988603;68.00105819;0.005336156;0.33;-30.76;-0.63787166;TG1A6AshMono;Mononon-forestedFine
TG2A70;TG2A;Switzerland;North;TG2;non-forested;Coarse;Alder;Mix;AlderMix;2.8;44.81;18.66312737;2.926549779;12.57546468;38.01853717;70.99535732;0.003944739;-0.8;-30.03;-0.345336221;TG2A70AlderMix;Mixnon-forestedCoarse
TG2A70;TG2A;Switzerland;North;TG2;non-forested;Coarse;Ash;Mix;AshMix;2.57;42.95;19.48935886;2.969868617;19.37236298;50.04171582;95.92175028;0.006941732;-0.41;-30.42;-0.503562383;TG2A70AshMix;Mixnon-forestedCoarse
